Customer ID,Recency,Frequency,Monetary,Avg_Order_Value,Total_Quantity,Future_Orders_90D,Churn
AA-10315,94,5,5563.56,505.77818181818185,30,0.0,1
AA-10375,24,8,906.518,75.54316666666666,35,1.0,0
AA-10480,169,4,1790.5120000000002,149.20933333333335,36,0.0,1
AA-10645,392,5,5073.975,298.46911764705885,62,1.0,0
AB-10015,325,3,886.156,147.69266666666667,13,0.0,1
AB-10060,15,6,4920.081999999999,410.0068333333333,30,2.0,0
AB-10105,12,9,13629.731,757.2072777777778,65,1.0,0
AB-10150,27,4,828.014,103.50175,26,1.0,0
AB-10165,16,7,1074.046,89.50383333333333,39,1.0,0
AB-10255,76,9,914.5319999999999,65.32371428571427,39,0.0,1
AB-10600,671,3,40.808,13.602666666666666,10,1.0,0
AC-10420,142,3,925.8,185.16,17,0.0,1
AC-10450,311,5,2068.246,295.4637142857143,39,2.0,0
AC-10615,29,4,2499.756,147.0444705882353,58,1.0,0
AC-10660,192,5,657.316,109.55266666666667,16,0.0,1
AD-10180,154,6,5026.33,558.4811111111111,30,2.0,0
AF-10870,160,5,1772.522,136.34784615384615,46,2.0,0
AF-10885,325,4,861.565,123.0807142857143,37,0.0,1
AG-10270,188,5,2582.898,184.4927142857143,58,0.0,1
AG-10300,28,4,367.548,73.5096,16,0.0,1
AG-10330,424,1,248.82,124.41,15,4.0,0
AG-10390,24,5,200.945,25.118125,33,0.0,1
AG-10495,346,7,2242.479,131.91052941176468,78,1.0,0
AG-10525,755,4,1455.038,161.6708888888889,33,0.0,1
AG-10675,7,7,3489.0396000000005,232.60264000000004,54,0.0,1
AG-10765,692,3,129.732,43.244,10,1.0,0
AG-10900,6,10,4510.797,214.79985714285712,92,0.0,1
AH-10030,560,6,1725.996,172.5996,47,1.0,0
AH-10075,6,8,2067.517,159.03976923076922,50,2.0,0
AH-10120,45,6,1730.266,115.35106666666667,63,1.0,0
AH-10195,38,3,1571.422,224.48885714285714,23,1.0,0
AH-10210,29,6,3257.204,325.72040000000004,34,3.0,0
AH-10465,140,5,2495.3916,311.92395,35,0.0,1
AH-10585,87,3,722.52,180.63,15,1.0,0
AH-10690,320,12,7888.294,342.9693043478261,102,0.0,1
AI-10855,22,8,3807.2,237.95,66,2.0,0
AJ-10780,140,6,4559.568,325.6834285714286,55,1.0,0
AJ-10795,76,7,4501.391,214.35195238095235,88,0.0,1
AJ-10945,31,6,1829.896,203.32177777777778,38,1.0,0
AJ-10960,1006,2,618.608,154.652,18,1.0,0
AM-10360,126,4,635.122,90.73171428571428,29,1.0,0
AM-10705,72,8,5664.022,257.4555454545455,81,0.0,1
AO-10810,411,1,161.28,161.28,2,0.0,1
AP-10720,299,7,1500.172,88.24541176470588,75,1.0,0
AP-10915,8,10,3323.556,107.21148387096774,102,0.0,1
AR-10345,21,4,1055.694,211.1388,18,0.0,1
AR-10405,35,5,2236.128,319.44685714285714,29,0.0,1
AR-10510,279,4,254.064,42.344,28,1.0,0
AR-10540,258,5,6590.568,823.821,30,1.0,0
AR-10570,444,1,88.15,44.075,6,0.0,1
AR-10825,72,7,4138.744,344.8953333333333,52,1.0,0
AS-10045,27,6,2879.404,319.9337777777778,45,1.0,0
AS-10090,15,8,3220.66,134.19416666666666,78,1.0,0
AS-10135,322,1,4.18,4.18,1,1.0,0
AS-10225,14,4,4191.304,349.2753333333333,40,1.0,0
AS-10240,102,7,584.6080000000001,44.969846153846156,39,0.0,1
AS-10285,324,5,3097.924,442.56057142857145,32,1.0,0
AS-10630,2,7,833.398,69.44983333333333,34,0.0,1
AT-10435,182,5,75.32600000000001,12.554333333333334,16,1.0,0
AT-10735,61,9,3515.968,270.4590769230769,53,1.0,0
AW-10840,29,3,328.12800000000004,54.68800000000001,20,1.0,0
AW-10930,31,6,2837.688,189.1792,66,1.0,0
AY-10555,287,3,274.98199999999997,45.83033333333333,23,1.0,0
AZ-10750,70,6,1622.0179999999998,135.16816666666665,40,0.0,1
BB-10990,15,5,744.3399999999999,93.04249999999999,26,0.0,1
BB-11545,16,7,4228.66,264.29125,63,2.0,0
BC-11125,112,9,2933.676,162.982,60,0.0,1
BD-11320,8,11,5582.193,328.3642941176471,65,1.0,0
BD-11500,248,5,4041.264,505.158,45,1.0,0
BD-11560,188,2,320.54,80.135,11,0.0,1
BD-11605,7,7,3288.471,164.42355,74,0.0,1
BD-11620,274,5,956.04,159.34,22,1.0,0
BD-11635,666,2,511.646,127.9115,15,1.0,0
BD-11725,3,6,1526.5,152.65,29,0.0,1
BD-11770,237,6,658.466,65.8466,21,0.0,1
BE-11335,29,5,4204.676,467.1862222222223,35,0.0,1
BE-11410,8,5,2261.438,452.2876,19,0.0,1
BE-11455,164,6,1727.652,132.8963076923077,40,0.0,1
BF-10975,1,7,599.798,46.13830769230769,38,0.0,1
BF-11005,430,3,594.144,118.8288,16,1.0,0
BF-11020,13,7,2835.714,141.7857,77,1.0,0
BF-11080,19,2,240.28,60.07,20,1.0,0
BF-11170,209,10,4064.57,184.75318181818182,88,1.0,0
BF-11215,202,3,1529.546,218.50657142857145,46,1.0,0
BF-11275,83,2,430.6139999999999,143.53799999999998,9,1.0,0
BG-11035,31,6,2760.612,276.0612,32,2.0,0
BG-11695,8,5,1840.882,262.98314285714287,23,1.0,0
BG-11740,167,5,519.9879999999999,86.66466666666666,18,1.0,0
BH-11710,136,7,5882.711,267.3959545454546,89,1.0,0
BK-11260,9,5,612.778,40.851866666666666,54,1.0,0
BM-11140,217,4,11789.63,736.851875,64,0.0,1
BM-11575,10,6,808.162,80.81620000000001,22,0.0,1
BM-11650,141,8,4087.911,185.81413636363638,67,3.0,0
BM-11785,128,10,1338.842,95.63157142857143,44,0.0,1
BN-11470,201,3,254.61599999999999,50.923199999999994,14,1.0,0
BN-11515,30,4,1446.834,96.4556,74,1.0,0
BO-11350,47,5,2682.728,223.56066666666666,43,0.0,1
BO-11425,752,1,6.08,6.08,2,1.0,0
BP-11050,197,4,940.66,156.77666666666667,29,1.0,0
BP-11095,7,10,2058.092,114.33844444444445,64,2.0,0
BP-11155,83,5,1648.741,164.8741,28,1.0,0
BP-11185,35,6,3097.017,258.08475,44,3.0,0
BP-11230,290,4,1110.51,222.102,13,1.0,0
BP-11290,265,5,1806.457,180.6457,34,2.0,0
BS-11365,468,5,10501.653,1166.8503333333333,39,0.0,1
BS-11380,203,3,845.9159999999999,281.972,11,2.0,0
BS-11590,379,5,1752.9679999999998,194.7742222222222,39,1.0,0
BS-11665,492,3,3288.1099999999997,298.91909090909087,47,0.0,1
BS-11755,8,6,2474.322,206.1935,38,1.0,0
BS-11800,175,2,949.4300000000001,118.67875000000001,22,0.0,1
BT-11305,246,5,2567.656,285.2951111111111,33,0.0,1
BT-11395,212,6,2186.6130000000003,218.66130000000004,38,0.0,1
BT-11440,470,4,603.876,86.268,16,0.0,1
BT-11485,569,2,415.19599999999997,138.39866666666666,11,0.0,1
BT-11530,1,5,2684.4919999999997,268.44919999999996,44,0.0,1
BT-11680,528,5,3095.3920000000003,182.0818823529412,78,2.0,0
BV-11245,244,5,1523.2730000000001,108.8052142857143,49,0.0,1
BW-11065,122,3,385.516,128.50533333333334,8,0.0,1
BW-11110,31,8,4750.358,279.4328235294118,74,0.0,1
BW-11200,113,6,1738.406,173.8406,49,0.0,1
CA-11965,6,6,3789.7228,378.97228,29,0.0,1
CA-12055,311,5,1679.7240000000002,167.97240000000002,49,0.0,1
CA-12265,9,6,2059.46,205.946,42,3.0,0
CA-12310,637,2,831.87,118.83857142857143,16,2.0,0
CA-12775,30,7,3041.566,178.9156470588235,72,0.0,1
CB-12025,20,9,5836.219,233.44876,114,1.0,0
CB-12415,219,6,1740.8120000000001,174.08120000000002,39,2.0,0
CB-12535,107,8,4246.4555,223.49765789473685,74,0.0,1
CC-12100,367,6,1770.945,136.22653846153847,46,0.0,1
CC-12145,16,7,2471.65,224.69545454545457,31,0.0,1
CC-12220,97,10,3120.998,195.062375,59,2.0,0
CC-12370,412,3,11901.184000000001,1487.6480000000001,22,2.0,0
CC-12430,134,7,2157.9500000000003,165.99615384615387,45,3.0,0
CC-12475,1,8,1611.694,146.51763636363637,34,1.0,0
CC-12550,108,1,47.976,47.976,3,2.0,0
CC-12610,356,6,2275.223,227.5223,29,1.0,0
CC-12670,105,6,2010.2615,182.75104545454545,36,1.0,0
CC-12685,709,4,2854.1150000000002,237.8429166666667,51,0.0,1
CD-11920,128,4,474.3,94.86,20,1.0,0
CD-11980,197,2,320.806,64.1612,13,1.0,0
CD-12790,309,5,1860.732,124.0488,49,0.0,1
CG-12040,196,5,886.2280000000001,110.77850000000001,34,1.0,0
CG-12520,248,3,1148.7800000000002,229.75600000000003,14,0.0,1
CH-12070,601,3,1537.236,384.309,13,0.0,1
CJ-11875,275,1,16.52,16.52,5,0.0,1
CJ-12010,99,8,11164.974,558.2487,83,0.0,1
