Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
AA-10315,185,5,5563.56,2,2,5,225,Potential Loyalists
AA-10375,20,9,1056.39,5,5,2,552,Loyal Customers
AA-10480,260,4,1790.5120000000002,1,1,3,113,Potential Loyalists
AA-10645,56,6,5086.9349999999995,3,3,5,335,Loyal Customers
AB-10015,416,3,886.156,1,1,1,111,Lost
AB-10060,55,8,7755.62,3,4,5,345,Loyal Customers
AB-10105,42,10,14473.570999999998,4,5,5,455,Champions
AB-10150,42,5,966.71,4,2,2,422,New Customers
AB-10165,26,8,1113.838,5,4,2,542,Loyal Customers
AB-10255,167,9,914.5319999999999,2,5,1,251,At Risk
AB-10600,51,4,1515.862,4,1,2,412,New Customers
AC-10420,233,3,925.8,1,1,1,111,Lost
AC-10450,12,7,5527.846,5,3,5,535,Loyal Customers
AC-10615,7,5,2537.6859999999997,5,2,3,523,New Customers
AC-10660,283,5,657.316,1,2,1,121,Lost
AD-10180,30,8,6106.88,4,4,5,445,Champions
AF-10870,42,7,2052.908,4,3,3,433,Loyal Customers
AF-10885,416,4,861.565,1,1,1,111,Lost
AG-10270,279,5,2582.898,1,2,3,123,Potential Loyalists
AG-10300,119,4,367.548,2,1,1,211,Lost
AG-10330,9,5,660.972,5,2,1,521,New Customers
AG-10390,115,5,200.945,2,2,1,221,Lost
AG-10495,79,8,2356.855,3,4,3,343,Loyal Customers
AG-10525,846,4,1455.038,1,1,2,112,Lost
AG-10675,98,7,3489.0396000000005,3,3,4,334,Loyal Customers
AG-10765,78,4,170.584,3,1,1,311,Potential Loyalists
AG-10900,97,10,4510.797,3,5,5,355,Loyal Customers
AH-10030,13,7,1744.7,5,3,3,533,Loyal Customers
AH-10075,35,10,3250.337,4,5,4,454,Champions
AH-10120,61,7,1735.5140000000001,3,3,2,332,Loyal Customers
AH-10195,56,4,1587.452,3,1,2,312,Potential Loyalists
AH-10210,7,9,4805.344,5,5,5,555,Champions
AH-10465,231,5,2495.3916,1,2,3,123,Potential Loyalists
AH-10585,22,4,738.504,5,1,1,511,New Customers
AH-10690,411,12,7888.294,1,5,5,155,At Risk
AI-10855,14,10,4375.786,5,5,5,555,Champions
AJ-10780,76,7,4867.344,3,3,5,335,Loyal Customers
AJ-10795,167,7,4501.391,2,3,5,235,At Risk
AJ-10945,86,7,1839.24,3,3,3,333,Loyal Customers
AJ-10960,75,3,629.2479999999999,3,1,1,311,Potential Loyalists
AM-10360,29,5,814.012,4,2,1,421,New Customers
AM-10705,163,8,5664.022,2,4,5,245,At Risk
AO-10810,502,1,161.28,1,1,1,111,Lost
AP-10720,42,8,1638.554,4,4,2,442,Loyal Customers
AP-10915,99,10,3323.556,3,5,4,354,Loyal Customers
